Const,Title,Sum
tt0114906,Welcome to the Dollhouse,10.714285714285714
tt8923500,Midnight Traveler,10.714285714285714
tt0012190,The Four Horsemen of the Apocalypse,10.714285714285714
tt0185125,Todo sobre mi madre,10.6875
tt0087843,Once Upon a Time in America,10.647558810266432
tt0039220,Brighton Rock,10.622406639004149
tt0084707,Sophie's Choice,10.577571249077602
tt0062322,Susuz Yaz,10.526315789473685
tt0028333,Swing Time,10.495049504950495
tt0101410,Barton Fink,10.494730679156909
tt0018806,The Crowd,10.476190476190476
tt0056444,Sanma no aji,10.411764705882353
tt0082477,Gregory's Girl,10.357142857142858
tt0253474,The Pianist,10.324440820130476
tt0059592,Pierrot le fou,10.288750768401933
tt2332522,Leviathan,10.283018867924529
tt0047136,Johnny Guitar,10.175445331695332
tt0055614,West Side Story,10.159145003081608
tt4048272,Toni Erdmann,10.145502645502646
tt0114671,Land and Freedom,10.142857142857142
tt0046022,Madame de...,10.131961472009271
tt0081176,Mon oncle d'Amérique,10.128768844221106
tt0067128,Get Carter,10.041666666666666
tt10475900,Murmur,10.0
tt0094828,Camille Claudel,10.0
tt0054130,La notte,10.0
tt1379182,Kynodontas,10.0
tt0035429,Went the Day Well?,10.0
tt0120244,Sunday,10.0
tt0043567,Fröken Julie,10.0
tt0012675,The Sheik,10.0
tt0048356,Marty,10.0
tt0047642,The Vanishing Prairie,10.0
tt1399103,Transformers: Dark of the Moon,10.0
tt0090015,Shoah,9.977150720304431
tt0056663,Vivre sa vie: Film en douze tableaux,9.953540741017022
tt0099334,Cyrano de Bergerac,9.872480460715755
tt0067144,The Go-Between,9.810633001422476
tt0095016,Die Hard,9.757420486543877
tt6155172,Roma,9.7165991902834
tt5726616,Call Me by Your Name,9.701965757767914
tt0070735,The Sting,9.655022807956156
tt0064040,L'armée des ombres,9.651020637959046
tt0107048,Groundhog Day,9.643478064530695
tt0097165,Dead Poets Society,9.63586956521739
tt0083987,Gandhi,9.590130643741961
tt0095953,Rain Man,9.53690245478036
tt0070040,El espíritu de la colmena,9.489386327161643
tt0031679,Mr. Smith Goes to Washington,9.423076923076923
tt0110057,Hoop Dreams,9.420289855072465
tt0114369,Se7en,9.390751379504861
tt0209933,Beau travail,9.385408477369175
tt0048157,The Unconquered,9.375
tt0098520,Trop belle pour toi,9.375
tt0035160,Ossessione,9.375
tt0015175,Die Nibelungen: Siegfried,9.375
tt0044572,Due soldi di speranza,9.375
tt0056141,A Kind of Loving,9.375
tt4193072,How to Build a Girl,9.375
tt0139615,Slam,9.375
tt0110377,London,9.375
tt0098635,When Harry Met Sally...,9.364035087719298
tt5776858,Phantom Thread,9.316770186335404
tt0209144,Memento,9.29054051964359
tt0335266,Lost in Translation,9.248039502491318
tt0044081,A Streetcar Named Desire,9.241909529769355
tt0061395,Belle de jour,9.179054054054054
